Timestamp,Slot,Type,Entry,Exit_Price,Profit_USDC,Status
2026-02-26 22:45:00,1772156400,Up,0.02,0.0,-0.4,LOSS_ORACLE
2026-02-26 22:50:00,1772156700,Down,0.03,0.0,-0.6,LOSS_ORACLE
2026-02-26 22:55:00,1772157000,Down,0.07,0.0,-1.4,LOSS_ORACLE
2026-02-26 23:00:00,1772157300,Down,0.03,0.0,-0.6,LOSS_ORACLE
2026-02-26 23:05:00,1772157600,Down,0.08,0.0,-1.6,LOSS_ORACLE
2026-02-26 23:15:00,1772158200,Up,0.03,0.0,-0.6,LOSS_ORACLE
2026-02-26 23:20:00,1772158500,Down,0.08,0.0,-1.6,LOSS_ORACLE
2026-02-26 23:30:00,1772159100,Down,0.08,0.0,-1.6,LOSS_ORACLE
2026-02-26 23:35:00,1772159400,Down,0.02,0.0,-0.4,LOSS_ORACLE
2026-02-26 23:40:00,1772159700,Up,0.07,0.0,-1.4,LOSS_ORACLE
2026-02-26 23:45:00,1772160000,Up,0.03,0.0,-0.6,LOSS_ORACLE
2026-02-27 02:49:47,1772170800,Up,0.08,0.0,-1.6,LOSS_ORACLE
2026-02-27 08:24:52,1772190300,Down,0.03,0.0,-0.6,LOSS_ORACLE
